length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
25,2,9,41,66,9,41,66,9,41,66;
25,3,12,57,96,12,57,96,12,57,96;
29,22,7,57,94,7,57,94,7,57,94;
20,5,4,45,81,4,45,81,4,45,81;
19,5,8,50,89,8,50,89,8,50,89;
20,5,3,38,71,3,38,71,3,38,71;
27,22,2,35,75,2,35,75,2,35,75;
25,5,4,34,89,4,34,89,4,34,89;
25,5,11,41,89,11,41,89,11,41,89;
24,6,5,38,88,5,38,88,5,38,88;
24,6,4,36,90,4,36,90,4,36,90;
23,5,5,37,89,5,37,89,5,37,89;
24,5,3,36,90,3,36,90,3,36,90;
26,5,3,36,90,3,36,90,3,36,90;
24,6,7,41,89,7,41,89,7,41,89;
30,29,2,45,127,2,45,127,2,45,127;
25,4,6,42,92,6,42,92,6,42,92;
24,5,4,44,90,4,44,90,4,44,90;
24,6,4,55,100,4,55,100,4,55,100;
25,4,6,42,80,6,42,80,6,42,80;
25,5,4,43,90,4,43,90,4,43,90;
25,5,4,35,72,4,35,72,4,35,72;
25,4,4,28,77,4,28,77,4,28,77;
24,5,5,46,87,5,46,87,5,46,87;
24,6,3,26,65,3,26,65,3,26,65;
38,19,3,46,102,3,46,102,3,46,102;
7,4,14,86,180,14,86,180,14,86,180;
25,5,3,32,87,3,32,87,3,32,87;
24,6,2,32,82,2,32,82,2,32,82;
23,5,2,31,68,2,31,68,2,31,68;
24,5,3,32,71,3,32,71,3,32,71;
24,5,4,31,66,4,31,66,4,31,66;
24,5,4,31,70,4,31,70,4,31,70;
23,5,4,32,68,4,32,68,4,32,68;
24,5,4,32,69,4,32,69,4,32,69;
23,5,3,33,69,3,33,69,3,33,69;
25,5,4,30,72,4,30,72,4,30,72;
23,5,3,30,69,3,30,69,3,30,69;
26,5,2,30,70,2,30,70,2,30,70;
24,5,3,33,70,3,33,70,3,33,70;
22,6,6,48,94,6,48,94,6,48,94;
22,5,2,23,62,2,23,62,2,23,62;
22,5,4,51,88,4,51,88,4,51,88;
23,4,4,43,94,4,43,94,4,43,94;
22,5,5,48,89,5,48,89,5,48,89;
22,5,7,55,102,7,55,102,7,55,102;
23,5,3,42,82,3,42,82,3,42,82;
23,5,5,45,89,5,45,89,5,45,89;
22,5,3,34,72,3,34,72,3,34,72;
23,4,2,25,53,2,25,53,2,25,53;
22,5,5,49,89,5,49,89,5,49,89;
22,6,2,26,65,2,26,65,2,26,65;
22,5,5,53,100,5,53,100,5,53,100;
21,6,1,22,59,1,22,59,1,22,59;
35,19,5,47,100,5,47,100,5,47,100;
23,5,3,45,96,3,45,96,3,45,96;
24,5,7,45,96,7,45,96,7,45,96;
23,5,7,47,95,7,47,95,7,47,95;
24,5,8,50,97,8,50,97,8,50,97;
24,5,5,44,95,5,44,95,5,44,95;
23,5,10,49,96,10,49,96,10,49,96;
24,5,9,49,96,9,49,96,9,49,96;
24,5,7,48,98,7,48,98,7,48,98;
23,5,4,50,95,4,50,95,4,50,95;
25,5,6,45,97,6,45,97,6,45,97;
23,5,1,45,94,1,45,94,1,45,94;
23,5,2,44,96,2,44,96,2,44,96;
22,5,6,43,95,6,43,95,6,43,95;
26,5,1,45,95,1,45,95,1,45,95;
24,4,4,42,91,4,42,91,4,42,91;
24,5,5,46,87,5,46,87,5,46,87;
24,4,4,30,80,4,30,80,4,30,80;
23,6,3,29,63,3,29,63,3,29,63;
38,21,6,46,126,6,46,126,6,46,126;
25,5,2,27,74,2,27,74,2,27,74;
24,5,5,47,89,5,47,89,5,47,89;
25,4,5,43,91,5,43,91,5,43,91;
24,5,6,46,92,6,46,92,6,46,92;
25,6,6,57,102,6,57,102,6,57,102;
25,4,5,43,80,5,43,80,5,43,80;
24,5,4,37,70,4,37,70,4,37,70;
24,5,8,48,91,8,48,91,8,48,91;
24,5,5,49,99,5,49,99,5,49,99;
24,6,4,35,68,4,35,68,4,35,68;
24,5,5,52,106,5,52,106,5,52,106;
36,19,1,37,116,1,37,116,1,37,116;
7,4,7,77,171,7,77,171,7,77,171;
22,5,1,39,82,1,39,82,1,39,82;
27,4,4,37,79,4,37,79,4,37,79;
23,5,2,38,82,2,38,82,2,38,82;
25,5,4,37,80,4,37,80,4,37,80;
23,5,6,39,81,6,39,81,6,39,81;
24,5,3,38,80,3,38,80,3,38,80;
25,5,6,37,79,6,37,79,6,37,79;
23,5,6,40,82,6,40,82,6,40,82;
24,4,3,38,80,3,38,80,3,38,80;
24,5,7,41,82,7,41,82,7,41,82;
24,5,2,39,79,2,39,79,2,39,79;
23,5,6,38,83,6,38,83,6,38,83;
22,5,3,39,78,3,39,78,3,39,78;
26,5,2,35,80,2,35,80,2,35,80;
23,5,7,38,80,7,38,80,7,38,80;
21,5,5,36,80,5,36,80,5,36,80;
23,5,2,36,80,2,36,80,2,36,80;
22,6,3,32,79,3,32,79,3,32,79;
23,5,6,38,76,6,38,76,6,38,76;
23,4,5,45,93,5,45,93,5,45,93;
23,5,1,24,68,1,24,68,1,24,68;
22,5,9,51,87,9,51,87,9,51,87;
23,4,6,42,95,6,42,95,6,42,95;
23,5,8,49,90,8,49,90,8,49,90;
22,5,8,56,100,8,56,100,8,56,100;
23,4,6,41,81,6,41,81,6,41,81;
22,5,8,45,88,8,45,88,8,45,88;
22,5,7,35,71,7,35,71,7,35,71;
23,4,4,25,52,4,25,52,4,25,52;
23,6,8,49,89,8,49,89,8,49,89;
23,6,2,26,64,2,26,64,2,26,64;
22,5,6,54,101,6,54,101,6,54,101;
22,6,2,27,63,2,27,63,2,27,63;
23,6,9,54,103,9,54,103,9,54,103;
23,6,2,22,77,2,22,77,2,22,77;
35,21,2,50,140,2,50,140,2,50,140;
25,6,4,47,148,4,47,148,4,47,148;
22,5,5,45,82,5,45,82,5,45,82;
26,5,4,45,101,4,45,101,4,45,101;
23,5,2,43,82,2,43,82,2,43,82;
24,5,5,42,80,5,42,80,5,42,80;
23,5,9,46,80,9,46,80,9,46,80;
24,5,8,47,82,8,47,82,8,47,82;
23,5,10,47,82,10,47,82,10,47,82;
25,5,7,45,80,7,45,80,7,45,80;
24,5,8,46,82,8,46,82,8,46,82;
23,5,8,48,80,8,48,80,8,48,80;
22,5,4,44,83,4,44,83,4,44,83;
24,5,2,41,82,2,41,82,2,41,82;
22,5,5,41,82,5,41,82,5,41,82;
23,5,3,42,81,3,42,81,3,42,81;
24,5,6,45,101,6,45,101,6,45,101;
24,6,6,45,97,6,45,97,6,45,97;
26,5,2,45,81,2,45,81,2,45,81;
24,5,4,45,86,4,45,86,4,45,86;
25,5,5,37,74,5,37,74,5,37,74;
25,5,6,44,87,6,44,87,6,44,87;
25,5,3,39,81,3,39,81,3,39,81;
24,5,3,33,71,3,33,71,3,33,71;
25,5,4,30,78,4,30,78,4,30,78;
24,5,8,47,85,8,47,85,8,47,85;
24,6,6,34,80,6,34,80,6,34,80;
25,6,8,51,101,8,51,101,8,51,101;
24,5,5,49,96,5,49,96,5,49,96;
29,7,3,29,129,3,29,129,3,29,129;
25,5,5,31,78,5,31,78,5,31,78;
25,5,5,41,93,5,41,93,5,41,93;
26,5,4,27,84,4,27,84,4,27,84;
25,5,4,48,90,4,48,90,4,48,90;
26,5,6,42,91,6,42,91,6,42,91;
26,6,5,54,98,5,54,98,5,54,98;
26,5,4,44,87,4,44,87,4,44,87;
25,6,3,27,64,3,27,64,3,27,64;
25,5,5,51,100,5,51,100,5,51,100;
26,6,3,29,73,3,29,73,3,29,73;
37,20,3,33,95,3,33,95,3,33,95;
8,3,24,91,183,24,91,183,24,91,183;
23,6,3,49,98,3,49,98,3,49,98;
21,5,7,49,97,7,49,97,7,49,97;
23,5,6,48,99,6,48,99,6,48,99;
27,5,5,49,100,5,49,100,5,49,100;
23,5,4,47,100,4,47,100,4,47,100;
25,5,8,50,94,8,50,94,8,50,94;
23,5,8,49,97,8,49,97,8,49,97;
24,5,7,49,99,7,49,99,7,49,99;
25,5,6,47,96,6,47,96,6,47,96;
24,5,3,48,98,3,48,98,3,48,98;
24,5,4,47,97,4,47,97,4,47,97;
25,5,5,48,99,5,48,99,5,48,99;
23,5,5,48,99,5,48,99,5,48,99;
25,5,6,48,101,6,48,101,6,48,101;
22,5,4,47,95,4,47,95,4,47,95;
25,5,10,49,96,10,49,96,10,49,96;
23,5,5,46,98,5,46,98,5,46,98;
22,5,6,47,97,6,47,97,6,47,97;
25,5,5,48,98,5,48,98,5,48,98;
23,5,4,46,97,4,46,97,4,46,97;
26,5,2,47,100,2,47,100,2,47,100;
22,6,3,24,64,3,24,64,3,24,64;
