length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
10,5,3,24,52,3,24,52,3,24,52;
11,3,17,87,118,17,87,118,17,87,118;
11,4,7,58,97,7,58,97,7,58,97;
12,5,3,24,54,3,24,54,3,24,54;
22,4,4,48,96,4,48,96,4,48,96;
18,4,3,41,92,3,41,92,3,41,92;
25,5,4,46,97,4,46,97,4,46,97;
13,4,5,34,87,5,34,87,5,34,87;
20,5,6,43,87,6,43,87,6,43,87;
25,4,6,36,82,6,36,82,6,36,82;
18,4,5,41,92,5,41,92,5,41,92;
25,4,6,35,85,6,35,85,6,35,85;
22,5,5,50,109,5,50,109,5,50,109;
20,4,5,46,86,5,46,86,5,46,86;
16,5,2,24,65,2,24,65,2,24,65;
19,4,9,71,126,9,71,126,9,71,126;
19,5,4,22,54,4,22,54,4,22,54;
19,5,7,49,96,7,49,96,7,49,96;
16,4,7,43,79,7,43,79,7,43,79;
17,4,6,30,65,6,30,65,6,30,65;
20,4,3,46,85,3,46,85,3,46,85;
17,4,9,53,92,9,53,92,9,53,92;
17,4,2,39,86,2,39,86,2,39,86;
23,4,6,51,85,6,51,85,6,51,85;
19,5,5,46,84,5,46,84,5,46,84;
25,4,7,53,86,7,53,86,7,53,86;
18,4,5,45,91,5,45,91,5,45,91;
20,5,2,36,145,2,36,145,2,36,145;
18,4,4,31,63,4,31,63,4,31,63;
22,4,2,44,93,2,44,93,2,44,93;
21,4,7,47,95,7,47,95,7,47,95;
33,15,9,63,123,9,63,123,9,63,123;
22,4,1,41,90,1,41,90,1,41,90;
20,4,5,41,96,5,41,96,5,41,96;
22,5,4,43,93,4,43,93,4,43,93;
21,5,6,50,110,6,50,110,6,50,110;
21,4,8,39,89,8,39,89,8,39,89;
15,4,5,37,75,5,37,75,5,37,75;
14,5,4,17,51,4,17,51,4,17,51;
14,4,8,45,78,8,45,78,8,45,78;
14,4,3,17,46,3,17,46,3,17,46;
15,4,4,47,93,4,47,93,4,47,93;
16,4,3,30,87,3,30,87,3,30,87;
14,4,6,41,77,6,41,77,6,41,77;
24,4,6,48,86,6,48,86,6,48,86;
21,5,5,44,84,5,44,84,5,44,84;
25,5,3,46,84,3,46,84,3,46,84;
15,4,4,36,74,4,36,74,4,36,74;
22,4,2,68,118,2,68,118,2,68,118;
19,4,7,59,110,7,59,110,7,59,110;
15,4,5,36,99,5,36,99,5,36,99;
22,4,4,49,94,4,49,94,4,49,94;
16,4,5,26,56,5,26,56,5,26,56;
23,4,4,50,94,4,50,94,4,50,94;
20,4,2,46,104,2,46,104,2,46,104;
20,5,10,44,88,10,44,88,10,44,88;
16,4,4,36,92,4,36,92,4,36,92;
16,4,3,32,74,3,32,74,3,32,74;
21,4,4,39,85,4,39,85,4,39,85;
22,4,6,42,90,6,42,90,6,42,90;
