length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
17,5,4,37,91,4,37,91,4,37,91;
7,4,1,56,185,1,56,185,1,56,185;
19,5,12,48,99,12,48,99,12,48,99;
27,6,2,36,99,2,36,99,2,36,99;
13,5,5,33,82,5,33,82,5,33,82;
33,5,11,96,168,11,96,168,11,96,168;
21,4,33,103,144,33,103,144,33,103,144;
22,4,6,51,94,6,51,94,6,51,94;
12,6,2,23,68,2,23,68,2,23,68;
29,6,2,54,159,2,54,159,2,54,159;
5,4,1,8,20,1,8,20,1,8,20;
30,5,2,40,110,2,40,110,2,40,110;
15,4,7,34,90,7,34,90,7,34,90;
20,5,4,37,88,4,37,88,4,37,88;
12,5,1,22,74,1,22,74,1,22,74;
28,5,2,33,105,2,33,105,2,33,105;
19,3,23,119,180,23,119,180,23,119,180;
5,4,6,18,50,6,18,50,6,18,50;
16,4,7,36,86,7,36,86,7,36,86;
15,4,7,47,103,7,47,103,7,47,103;
16,5,2,25,76,2,25,76,2,25,76;
18,4,22,56,91,22,56,91,22,56,91;
27,5,1,39,99,1,39,99,1,39,99;
7,3,24,94,192,24,94,192,24,94,192;
18,5,3,25,77,3,25,77,3,25,77;
26,4,2,42,94,2,42,94,2,42,94;
18,5,10,42,104,10,42,104,10,42,104;
32,14,16,61,127,16,61,127,16,61,127;
24,4,4,42,98,4,42,98,4,42,98;
15,4,5,53,109,5,53,109,5,53,109;
6,4,2,12,36,2,12,36,2,12,36;
15,5,1,21,62,1,21,62,1,21,62;
15,4,21,65,119,21,65,119,21,65,119;
26,4,2,72,140,2,72,140,2,72,140;
30,4,1,74,135,1,74,135,1,74,135;
14,4,20,51,94,20,51,94,20,51,94;
17,4,11,60,110,11,60,110,11,60,110;
14,4,1,31,77,1,31,77,1,31,77;
15,5,21,51,116,21,51,116,21,51,116;
14,5,1,21,70,1,21,70,1,21,70;
26,4,6,52,116,6,52,116,6,52,116;
25,5,1,42,96,1,42,96,1,42,96;
19,4,10,43,98,10,43,98,10,43,98;
15,5,7,52,88,7,52,88,7,52,88;
15,4,12,39,93,12,39,93,12,39,93;
5,4,2,11,26,2,11,26,2,11,26;
26,5,2,51,158,2,51,158,2,51,158;
13,5,1,26,74,1,26,74,1,26,74;
17,4,1,22,56,1,22,56,1,22,56;
16,3,13,70,123,13,70,123,13,70,123;
27,5,7,50,122,7,50,122,7,50,122;
19,4,7,46,85,7,46,85,7,46,85;
28,5,1,50,109,1,50,109,1,50,109;
19,5,1,22,77,1,22,77,1,22,77;
16,4,10,60,113,10,60,113,10,60,113;
27,5,4,52,110,4,52,110,4,52,110;
16,4,12,48,99,12,48,99,12,48,99;
19,5,7,52,117,7,52,117,7,52,117;
17,6,1,20,69,1,20,69,1,20,69;
16,3,14,55,105,14,55,105,14,55,105;
25,4,4,45,97,4,45,97,4,45,97;
