length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
13,7,100,111,127,53,66,82,23,38,51;
14,8,100,107,118,53,62,74,22,32,41;
17,10,98,114,127,62,75,87,33,48,64;
8,4,92,101,112,47,55,68,14,29,39;
21,5,102,112,123,56,67,84,25,38,51;
8,6,89,99,108,43,54,63,23,32,47;
11,7,86,97,110,41,51,61,9,21,46;
10,4,107,115,125,60,72,84,30,40,51;
10,5,103,111,118,57,66,75,31,43,58;
6,3,103,107,112,56,61,67,26,30,38;
19,7,98,103,110,51,56,64,14,20,29;
11,7,101,105,110,53,57,65,11,21,35;
17,10,94,101,108,41,50,63,11,21,33;
9,5,88,92,100,44,48,57,11,16,25;
14,6,87,103,113,41,54,68,15,32,49;
11,6,88,101,108,44,54,60,15,26,46;
8,4,99,102,105,44,50,56,12,19,26;
14,7,96,107,115,51,63,72,18,29,44;
12,8,86,92,97,36,44,51,9,17,26;
9,7,86,95,103,31,42,49,10,15,21;
16,4,100,104,114,55,60,70,13,20,33;
11,4,103,110,118,57,64,72,20,30,42;
8,3,97,102,109,44,47,56,11,15,20;
58,18,78,105,123,22,59,83,7,33,57;
21,6,83,94,102,31,41,51,6,13,21;
14,7,102,121,131,58,80,95,33,55,75;
20,6,85,94,106,40,44,57,8,15,24;
21,17,96,113,123,48,69,81,24,41,55;
19,7,79,88,96,21,34,44,8,13,21;
15,4,81,85,92,25,30,39,9,13,18;
20,11,91,99,113,44,52,67,9,24,51;
8,4,77,81,84,21,27,33,10,14,19;
14,5,86,95,107,37,49,64,15,23,34;
13,5,93,100,104,44,55,61,13,21,32;
6,4,91,94,98,41,45,50,8,11,20;
14,11,96,105,116,44,57,71,15,32,52;
11,4,106,113,119,62,72,81,25,43,57;
9,6,84,93,100,32,43,50,10,18,27;
9,5,85,91,99,32,40,49,9,12,19;
14,7,88,93,101,37,41,48,8,16,25;
12,6,88,93,100,40,44,54,7,18,31;
6,2,91,94,99,35,38,44,11,12,15;
6,3,80,81,82,21,22,26,11,12,14;
22,9,82,86,94,27,35,43,7,12,17;
6,3,92,94,98,39,40,44,14,16,20;
12,5,77,83,89,25,29,34,11,15,21;
26,14,85,98,106,34,50,61,13,25,31;
8,4,79,82,89,26,33,42,7,12,17;
10,5,91,94,98,37,41,48,11,15,21;
18,15,102,112,122,58,67,81,19,33,60;
9,4,83,85,89,33,37,42,15,18,22;
12,6,83,90,99,30,40,49,10,13,25;
14,5,88,92,98,39,41,46,12,17,25;
5,4,80,85,93,25,31,39,3,8,17;
17,3,79,84,93,21,27,36,5,11,16;
22,4,79,89,98,31,35,43,10,15,25;
9,3,77,81,88,25,30,36,10,13,17;
17,4,96,104,113,50,60,69,22,32,41;
16,5,79,82,90,19,26,34,6,10,17;
13,7,111,118,127,72,78,87,38,52,63;
14,8,92,97,106,43,48,56,12,25,39;
10,3,77,79,84,23,26,31,10,13,15;
17,7,87,92,100,34,43,55,4,12,26;
16,4,91,108,128,41,62,84,14,34,59;
33,4,77,80,86,17,23,30,10,13,19;
8,3,88,91,98,40,44,49,10,12,17;
19,5,88,94,102,41,47,55,9,18,30;
12,3,93,99,105,45,51,57,9,13,19;
19,5,75,85,94,23,35,44,9,13,23;
10,4,80,87,94,27,33,40,6,10,15;
15,3,76,78,80,18,22,29,8,12,16;
6,2,76,77,81,22,24,31,11,13,17;
15,4,76,81,90,30,35,42,11,19,30;
12,5,83,90,98,31,39,54,7,14,19;
10,4,77,82,86,23,30,37,11,16,20;
15,4,90,96,105,40,48,59,10,21,33;
13,4,80,87,95,26,38,48,14,17,25;
12,7,76,79,92,19,23,36,10,15,23;
9,7,127,133,138,104,106,112,83,87,93;
9,6,93,99,104,47,51,58,27,34,39;
34,15,93,107,116,49,62,74,21,34,52;
26,13,79,94,102,29,41,53,9,13,23;
10,3,99,104,110,49,56,62,11,24,52;
12,5,77,97,104,36,50,63,15,23,45;
9,4,80,88,93,35,45,52,9,17,25;
22,7,95,109,123,45,68,89,18,42,66;
12,5,78,85,94,25,37,48,11,24,37;
15,3,76,83,92,27,34,41,8,20,28;
5,5,78,85,94,34,38,43,12,18,28;
14,5,102,109,122,53,66,86,21,35,60;
30,11,76,91,106,25,40,56,3,20,43;
12,6,125,130,137,93,102,113,63,76,89;
15,8,92,97,110,41,48,59,10,19,45;
14,5,126,131,138,90,100,117,67,83,100;
29,13,101,107,116,55,61,72,25,35,46;
8,6,98,106,121,54,65,82,41,51,65;
8,6,83,94,105,39,49,60,17,30,42;
21,6,73,81,90,19,29,50,3,13,23;
14,6,71,77,85,21,29,38,9,14,21;
14,7,127,130,134,89,95,103,61,70,81;
17,3,81,91,98,29,45,55,12,24,37;
8,5,77,82,92,19,30,41,7,14,23;
18,2,79,91,98,32,44,52,12,16,24;
15,8,65,71,79,15,20,29,8,14,19;
7,2,93,95,99,42,43,46,12,15,18;
16,5,74,83,96,20,31,49,8,20,34;
13,5,88,96,106,40,47,56,14,20,32;
7,6,84,88,94,38,41,47,14,21,35;
5,5,86,94,101,38,41,47,14,18,23;
28,12,79,91,110,30,40,58,7,16,31;
12,5,78,82,91,23,28,39,9,13,20;
23,4,79,95,106,22,43,55,6,12,20;
10,5,78,81,86,27,31,39,9,11,16;
5,3,78,90,97,22,33,41,5,11,16;
15,6,77,80,94,17,23,38,9,14,22;
7,5,125,127,130,87,90,95,52,58,68;
27,19,103,120,134,60,86,111,42,69,98;
17,5,73,77,82,16,20,25,10,16,20;
9,4,77,89,96,22,33,39,11,17,24;
11,4,70,76,79,18,20,23,9,14,18;
14,6,72,76,81,18,22,25,13,16,19;
11,3,76,79,85,18,22,29,9,14,19;
10,5,69,71,76,17,19,23,9,14,19;
9,7,104,110,117,59,68,78,37,46,62;
5,2,100,103,111,51,57,65,21,26,32;
27,6,112,120,130,70,79,92,43,57,74;
8,4,76,80,91,24,29,36,7,11,16;
13,4,69,75,80,18,22,28,8,12,19;
18,11,93,102,113,45,54,74,6,34,57;
17,6,97,102,112,47,56,67,9,25,42;
11,3,74,80,87,20,28,37,9,12,17;
13,3,73,76,81,17,20,25,8,14,19;
27,11,97,105,119,50,56,69,9,25,58;
26,15,127,135,143,95,110,120,66,90,105;
9,5,122,127,130,78,87,98,55,65,76;
11,5,73,78,85,22,26,32,8,12,16;
20,4,69,75,83,18,22,30,11,14,19;
11,4,72,74,79,16,18,21,9,12,16;
15,4,75,80,86,20,25,34,9,13,20;
16,2,76,82,93,21,28,36,10,14,20;
12,8,109,117,123,62,74,85,34,48,62;
11,3,99,100,103,48,54,59,15,17,21;
23,6,83,88,95,37,42,49,9,15,26;
13,3,74,78,82,19,22,27,5,11,19;
16,5,101,111,121,51,66,78,14,28,50;
17,6,76,82,93,23,28,37,11,15,20;
16,3,93,101,112,48,56,66,23,32,42;
19,5,72,78,83,17,21,31,6,12,21;
10,2,72,78,87,23,25,30,8,13,18;
5,4,71,72,75,18,19,22,9,13,17;
9,5,97,103,112,53,57,68,12,22,31;
20,6,85,90,97,38,42,50,10,16,31;
7,3,89,93,97,41,46,50,19,23,27;
20,9,94,100,109,41,51,61,10,18,28;
11,5,113,119,127,70,77,88,41,48,59;
19,8,89,99,113,41,53,68,17,26,42;
14,8,86,91,104,38,43,57,15,19,30;
15,5,73,77,84,17,20,26,7,11,18;
5,2,86,89,91,33,36,39,19,20,23;
40,7,82,89,99,28,37,45,8,14,21;
26,8,72,77,89,16,20,33,4,10,18;
15,13,88,97,105,39,46,56,10,16,27;
21,4,82,89,99,25,35,44,7,13,20;
15,4,69,74,78,17,20,24,10,14,18;
9,2,83,92,101,31,40,55,6,14,21;
20,5,70,74,81,16,19,28,8,13,18;
19,5,72,77,87,17,23,32,4,11,21;
17,4,125,133,140,88,101,111,55,75,87;
11,5,76,82,89,22,28,34,7,13,19;
10,3,70,73,82,17,20,24,10,14,19;
8,6,102,104,108,54,57,61,9,16,31;
17,7,107,111,118,59,65,72,13,36,52;
8,3,67,69,73,19,20,22,12,14,17;
14,3,69,71,75,18,20,23,11,12,14;
38,11,117,132,141,79,102,119,47,81,103;
6,2,125,129,133,83,94,102,44,54,65;
23,10,113,125,138,72,84,105,40,54,74;
16,5,77,84,93,23,29,37,5,11,20;
22,6,99,110,124,42,64,89,20,35,54;
13,6,87,92,98,39,42,49,13,21,31;
18,8,79,86,102,32,38,56,11,15,26;
18,10,83,95,110,30,44,61,9,15,24;
6,2,78,81,89,22,25,32,6,10,16;
11,8,76,81,88,19,23,32,10,14,19;
18,7,86,95,103,32,44,57,7,14,24;
5,4,69,74,82,17,19,24,6,10,17;
26,12,67,73,81,16,20,29,9,14,19;
11,5,85,89,95,36,40,45,9,14,18;
9,4,73,76,83,18,20,27,6,10,15;
17,5,76,90,102,28,36,47,11,15,21;
8,8,103,107,115,53,57,71,16,24,37;
13,5,92,97,103,36,44,51,11,14,22;
17,5,72,84,92,24,38,47,8,15,28;
6,3,68,72,75,17,19,22,13,17,20;
23,6,81,87,95,34,38,45,4,13,22;
12,6,74,85,93,25,34,42,11,16,24;
14,6,77,83,96,22,28,43,7,13,21;
21,5,77,82,92,17,26,34,10,13,22;
17,6,73,75,82,16,20,28,10,14,21;
19,5,72,77,84,17,20,26,8,14,20;
13,7,58,75,89,16,29,42,4,14,23;
18,8,74,80,88,19,30,41,9,13,22;
12,6,70,73,81,16,20,28,9,14,18;
12,4,81,86,91,28,31,36,9,14,19;
14,5,68,72,81,15,19,28,6,14,20;
10,4,74,80,88,17,23,33,4,8,14;
7,4,81,85,92,30,35,44,5,10,19;
5,3,75,76,79,17,19,25,10,13,18;
10,4,69,85,92,21,32,39,7,14,20;
14,6,102,107,116,52,57,71,20,30,43;
8,4,76,80,88,27,31,39,8,15,24;
8,4,81,84,88,29,33,38,13,18,22;
19,13,87,93,106,32,39,50,10,14,20;
19,4,71,76,85,17,20,31,10,15,21;
5,5,72,74,81,17,19,24,9,14,18;
13,4,106,114,121,55,65,73,21,34,46;
14,3,73,76,81,18,21,25,9,14,18;
9,5,73,76,82,16,20,26,7,13,17;
29,8,86,90,96,31,36,42,5,13,23;
18,6,93,99,106,47,53,62,9,21,35;
17,5,73,79,90,24,29,40,6,11,18;
7,7,77,81,88,20,24,34,10,12,15;
13,4,73,76,85,18,22,29,5,12,20;
6,4,88,93,99,34,39,45,8,13,19;
14,6,73,77,80,18,19,23,8,13,18;
9,4,78,83,95,30,35,47,7,15,25;
12,4,72,75,82,18,20,25,6,12,18;
9,7,74,82,98,19,26,42,7,14,28;
23,9,103,112,124,56,67,84,13,30,57;
9,3,92,98,104,41,47,54,11,17,27;
15,7,60,74,85,16,24,33,7,14,21;
5,3,77,79,83,22,27,34,13,15,20;
21,5,121,130,141,92,104,117,64,81,98;
8,4,82,87,94,35,39,47,14,17,22;
11,3,75,83,89,22,30,35,3,11,21;
13,5,77,82,89,24,28,32,6,12,19;
11,4,74,78,85,19,22,28,7,11,17;
9,7,73,77,86,17,20,28,8,12,16;
7,3,77,82,90,26,34,43,9,14,18;
11,7,66,70,76,18,20,24,10,15,20;
11,4,72,74,76,19,21,23,10,14,18;
15,7,75,79,85,17,21,30,8,13,20;
10,6,95,101,106,47,53,59,14,23,33;
12,5,77,80,90,23,26,34,6,11,19;
11,3,66,72,78,17,19,24,12,13,15;
5,4,74,77,80,17,19,22,7,12,18;
10,5,74,77,82,17,19,24,9,15,18;
18,3,97,113,127,49,71,84,26,44,59;
4,1,84,87,89,32,34,36,16,17,20;
16,5,72,77,83,19,22,29,10,15,23;
8,5,94,99,110,46,51,66,13,22,35;
26,6,107,118,130,64,80,97,28,51,67;
7,4,73,76,85,19,23,32,9,10,16;
4,3,80,84,90,21,25,30,9,13,19;
12,5,70,76,85,17,20,26,8,12,18;
10,6,75,81,89,17,24,33,3,12,21;
10,7,100,106,116,52,59,69,17,29,50;
11,5,79,83,91,26,30,39,10,12,17;
15,5,70,75,82,15,19,25,10,14,18;
8,2,78,82,86,28,31,36,7,11,14;
10,3,75,77,81,21,25,32,9,12,16;
14,5,71,75,83,17,22,30,6,12,17;
21,9,119,125,134,75,84,97,38,52,75;
10,6,118,128,136,88,95,101,61,68,75;
7,2,78,82,91,27,31,41,9,11,16;
9,4,69,79,89,20,26,33,8,12,19;
17,3,86,90,95,28,34,43,8,13,22;
10,2,73,82,90,19,27,34,11,14,19;
9,3,91,101,107,45,53,63,10,17,23;
12,5,82,87,101,36,39,52,10,13,21;
6,3,74,77,80,17,18,20,10,15,19;
8,6,86,92,99,38,43,53,12,16,20;
11,3,76,81,92,21,28,37,11,14,18;
5,3,74,80,89,20,23,32,9,11,14;
8,5,105,111,117,60,68,78,19,31,45;
12,4,80,85,92,22,27,33,10,15,21;
9,4,75,77,83,19,23,33,5,9,17;
32,8,100,111,127,43,62,79,13,30,51;
31,8,76,83,90,19,25,34,6,12,19;
9,3,78,84,92,21,27,32,8,11,17;
10,4,83,86,92,32,37,44,9,13,19;
20,5,74,90,104,25,38,51,6,14,26;
27,9,107,115,125,52,68,80,30,38,48;
11,5,80,87,94,32,37,43,15,19,25;
12,3,85,89,96,29,33,40,5,10,15;
17,8,68,74,86,17,21,31,12,16,21;
18,4,70,74,80,16,19,23,11,15,19;
20,9,70,76,83,16,19,25,8,14,20;
18,6,74,78,87,18,22,31,10,14,21;
8,5,78,80,84,19,22,26,10,12,15;
22,5,79,85,93,20,26,31,9,14,20;
12,5,81,87,95,22,27,34,6,13,20;
37,18,83,93,107,27,37,50,9,16,30;
17,4,100,104,110,43,49,58,14,23,36;
12,5,75,78,86,17,21,29,11,16,21;
11,4,111,121,133,72,86,103,43,61,80;
13,6,92,98,108,44,49,62,19,25,34;
21,7,77,88,97,23,37,46,8,11,17;
19,7,108,115,122,59,72,82,29,46,63;
8,2,76,84,92,19,31,40,7,13,18;
10,2,105,110,115,61,67,72,24,32,42;
8,3,99,108,114,51,61,66,15,22,33;
9,4,76,78,84,20,25,31,9,15,23;
11,4,79,89,101,20,31,47,5,11,17;
13,6,76,80,90,18,22,33,7,11,18;
0,0,75,83,94,20,30,40,7,12,17;
6,4,73,77,82,17,18,22,8,13,17;
10,4,111,115,121,71,77,87,37,48,63;
8,4,73,75,82,18,20,26,8,12,20;
16,5,72,76,86,19,25,36,13,17,25;
17,4,73,75,80,19,23,30,8,14,18;
3,1,109,110,112,62,62,64,36,37,40;
12,5,88,93,100,36,42,49,9,15,24;
15,4,73,76,81,18,21,25,10,13,16;
14,3,65,74,82,15,18,23,7,12,19;
12,4,70,75,82,18,21,24,9,14,18;
14,6,99,107,113,49,54,61,16,25,35;
8,4,77,81,88,22,27,34,5,8,13;
13,4,69,72,79,18,21,26,6,12,18;
6,4,100,107,115,50,59,68,17,28,38;
18,5,66,69,73,17,20,24,10,14,18;
7,2,75,82,93,23,31,43,9,13,20;
12,4,74,78,84,21,26,33,8,12,19;
13,3,74,80,88,20,25,31,6,11,15;
19,6,113,124,134,66,83,97,37,58,73;
13,4,73,75,80,18,21,27,12,15,19;
8,5,96,98,102,40,43,48,13,15,22;
14,7,81,91,105,34,45,59,11,17,32;
19,6,78,89,104,37,44,55,12,23,39;
5,3,82,87,94,35,37,43,7,11,22;
17,6,81,90,101,33,40,47,10,18,30;
22,11,68,72,80,17,20,25,8,14,20;
12,8,102,110,128,59,68,86,15,30,49;
14,5,92,98,112,46,53,69,11,19,35;
18,4,81,86,93,23,30,37,7,11,19;
10,9,98,106,124,54,59,72,10,23,42;
20,6,84,95,114,37,46,62,7,16,28;
9,5,74,78,87,19,24,30,10,13,20;
9,8,107,115,122,64,72,83,24,34,42;
14,4,73,75,80,19,22,28,11,13,17;
12,6,66,75,82,17,20,26,5,13,18;
8,8,71,74,80,18,20,23,11,15,19;
25,5,76,80,87,18,23,31,6,12,19;
8,4,81,86,98,22,28,43,13,18,22;
15,5,70,75,84,18,24,32,6,12,19;
23,10,75,79,87,18,21,29,6,13,19;
10,6,77,79,84,21,25,32,12,18,23;
16,5,74,82,93,20,26,37,4,11,19;
26,9,68,77,93,17,23,43,7,12,17;
14,5,72,77,84,16,23,28,11,15,21;
11,5,66,72,78,19,23,28,13,16,20;
9,6,80,83,91,29,34,42,7,11,21;
10,5,81,87,95,22,30,38,7,12,23;
11,5,77,80,84,22,27,33,10,14,19;
25,5,72,79,93,20,26,38,7,12,18;
13,4,77,83,90,25,30,38,10,15,19;
19,6,100,107,113,50,57,64,15,26,38;
9,4,77,79,82,19,21,24,10,11,14;
24,7,72,78,88,18,24,35,6,13,21;
15,5,86,93,105,42,48,62,3,13,24;
19,5,72,76,82,19,25,33,7,13,21;
14,6,95,108,117,47,64,75,6,24,50;
15,7,83,94,103,35,44,58,11,16,25;
18,10,104,116,127,56,76,97,13,34,55;
6,4,85,90,99,34,41,55,9,14,20;
18,4,73,79,87,20,26,36,6,12,18;
13,7,72,78,85,18,22,31,8,13,22;
16,6,74,81,93,18,23,31,9,13,18;
34,8,71,79,94,16,24,36,4,13,23;
19,6,96,101,107,44,49,59,12,20,27;
17,5,84,88,95,31,37,47,9,18,28;
22,6,76,81,91,24,32,45,4,11,19;
22,6,71,75,80,17,20,27,9,15,20;
33,9,81,92,109,23,38,59,11,16,26;
9,6,101,103,110,45,50,61,16,21,33;
5,5,99,102,106,45,50,54,16,19,28;
12,6,65,69,74,17,20,24,9,14,19;
15,7,95,103,114,46,52,63,9,17,32;
20,5,112,120,125,66,75,81,32,43,56;
6,5,118,120,129,73,76,86,37,47,64;
19,7,120,128,135,73,90,103,47,66,82;
7,7,106,112,122,63,71,85,25,33,43;
16,5,73,80,91,17,25,38,3,10,19;
36,9,64,71,78,17,19,26,8,14,21;
10,6,72,75,80,17,19,27,10,13,18;
11,3,68,74,79,18,22,27,9,13,18;
10,4,74,76,84,19,23,31,9,12,19;
12,6,87,95,109,39,49,65,13,20,31;
8,6,66,72,82,18,21,28,8,14,20;
7,4,100,105,111,48,53,64,8,14,24;
13,8,104,111,119,53,62,76,6,22,32;
9,8,98,105,117,52,60,74,18,29,39;
7,6,96,100,105,49,53,61,10,21,36;
14,5,74,78,86,19,26,34,9,13,17;
5,3,49,59,70,15,17,19,10,14,16;
19,4,67,69,74,18,20,25,10,14,19;
5,3,69,70,74,20,21,23,12,14,17;
3,1,77,79,81,30,33,35,8,9,11;
6,3,120,132,140,76,90,105,38,50,75;
14,5,87,90,97,38,44,54,4,10,17;
13,3,70,78,89,20,24,38,5,11,15;
22,5,84,91,99,30,38,46,8,14,24;
13,4,98,107,114,49,54,59,15,21,34;
16,6,76,86,101,26,37,55,5,13,20;
21,5,79,84,91,30,36,44,9,13,20;
17,6,93,100,105,37,47,55,12,17,27;
7,5,118,126,134,83,92,104,52,63,78;
11,7,108,116,124,67,77,87,29,42,59;
7,5,94,97,108,45,48,61,7,12,19;
19,5,82,89,101,31,36,44,8,14,21;
6,6,93,98,104,41,48,59,11,22,30;
16,6,82,88,102,34,40,53,9,19,28;
15,5,92,98,109,45,51,64,12,21,31;
5,2,85,88,95,34,38,45,9,12,16;
13,4,70,73,79,20,22,26,11,15,18;
7,4,88,91,101,35,38,47,11,15,20;
11,4,98,106,114,52,63,73,12,21,41;
16,4,69,73,79,18,22,29,9,11,16;
6,3,70,72,77,22,24,29,11,12,17;
7,4,83,87,94,27,34,41,10,13,18;
16,5,73,80,90,21,30,43,13,17,22;
16,5,69,73,82,18,21,27,8,13,20;
14,4,112,124,129,75,88,97,44,56,63;
9,5,100,105,112,45,54,61,14,21,34;
17,6,105,114,121,58,67,75,11,32,48;
22,4,121,126,132,77,84,93,41,55,70;
28,7,71,76,86,17,21,27,7,12,19;
5,4,103,108,114,59,63,72,22,29,35;
8,5,98,102,109,51,58,67,11,19,28;
7,4,94,102,113,48,59,70,11,17,29;
10,3,78,84,94,33,41,50,12,14,21;
10,2,76,80,89,23,25,28,4,9,17;
14,5,64,71,79,16,18,26,6,11,16;
11,6,88,94,100,37,42,50,8,15,26;
9,4,124,127,135,83,89,104,56,65,86;
14,3,69,73,79,16,19,23,10,14,18;
7,4,101,105,109,48,52,59,12,19,26;
5,1,64,68,72,17,18,20,12,14,16;
19,2,68,75,84,17,20,26,6,11,15;
6,3,103,108,112,46,51,55,15,21,32;
6,5,110,112,117,62,64,68,30,33,39;
22,6,111,118,127,60,72,86,23,39,58;
20,4,73,81,90,27,32,38,5,11,18;
7,2,72,75,79,17,20,23,15,16,18;
9,3,72,75,79,20,22,28,15,18,23;
12,6,81,93,103,33,43,55,11,13,17;
12,4,108,111,116,53,59,65,26,38,46;
7,2,69,73,76,18,21,27,12,15,19;
12,4,72,76,82,18,20,23,13,16,19;
12,2,96,103,114,39,52,65,19,21,29;
6,3,73,76,82,16,17,20,8,13,17;
29,8,41,65,85,15,19,24,9,12,16;
6,5,68,73,79,18,21,27,12,15,20;
21,4,81,88,102,33,39,48,8,16,22;
9,3,92,94,98,35,37,42,9,18,27;
8,8,96,102,111,49,56,73,15,25,36;
13,4,76,77,80,18,20,24,12,15,19;
6,6,65,69,77,17,19,24,14,16,18;
11,4,74,78,82,20,23,27,10,15,20;
13,4,100,107,122,52,61,79,14,32,45;
18,10,67,74,82,16,19,24,7,13,21;
12,6,70,76,82,19,21,26,9,14,19;
8,4,70,73,78,17,19,23,7,12,18;
7,3,70,77,88,22,27,31,10,13,23;
9,7,70,74,82,17,20,28,9,14,21;
7,3,95,98,104,39,43,50,13,18,24;
9,5,114,118,124,68,73,81,27,34,45;
19,4,69,76,83,21,25,32,5,11,17;
